   1. a                             art.任何一个；某一个；每一；一种；一份
 532. flat                          ①n.一套房间 ②a.平的；平伸的；浅的
 533. flight                        ①n.飞翔；飞机的航程 ②n.逃亡，逃跑
 534. floor                         n.地板，地面；楼层；议会席 v.铺设地板
 535. flower                        n.花，开花植物；兴盛时期 v.开花；发育
 536. flu                           n.流行性感冒
 537. fly                           ①n.苍蝇 ②v.飞，航空；使飞；乘飞机旅行
 538. follow                        v.跟随；领会；遵循；注视；追求 n.跟随
 539. following                     n.一批追随者 a.下一个的 prep.在…以后
 540. food                          n.食物，食料
 541. foot                          n.脚，底部，基部；英尺
 542. football                      n.足球(比赛)；被踢来踢去的人(难题)
 543. for                           prep.往，向；给；代表；赞成 conj.因为
 544. force                         n.力，力量；势力；军队；武力 v.强迫，逼
 545. foreign                       a.外国的，对外的；外来的，外地的；无关的
 546. foreigner                     n.外国人
 547. forest                        n.森林，森林地带
 548. forever                       ad.永远地，永久，不断地
 549. forget                        v.忘记，忘掉，忽略；不再放在心上
 550. fork                          n.餐叉；叉，耙；岔口 v.分叉；叉起，耙
 551. form                          v.形成；组成 n.形状；形体；形式；体制
 552. forty                         n.&a.四十(的)，四十个(的)
 553. forward                       ad.在前部的；早熟的 ad.向前；提前 v.促进
 554. four                          n.&a.四(的)，四个(的)
 555. fourteen                      n.&a.十四(的)，十四个(的)
 556. fourth                        n.&a.第四(的)，四分之一(的)
 557. fox                           n.狐狸，狡猾阴险的人
 558. free                          a.自由的；空闲的；免费的；开放的 v.解放
 559. freeze                        v.结冰，冰冻，凝固；感到极冷，冻僵；冻结
 560. freezing                      a.极冷的，冰冻的，凝固的；冷淡的
 561. fresh                         a.新鲜的；(水)淡的；新颖的；精神饱满的
 562. Friday                        n.星期五
 563. friend                        n.朋友，友人；赞助者，支持者，同情者
 564. friendly                      a.友好的，友善的，友谊的；赞成的，有利的
 565. friendship                    n.友好，友谊，友情
 566. frighten                      v.使惊恐，吓唬，使害怕
 567. frog                          n.蛙，蛙类动物
 568. from                          prep.从…来；从…起；防止；用，从，由于
 569. front                         a.前部的 n.前部；面；前线；湖滨；外表
 570. fruit                         n.水果，果实；成果，收获，结果
 571. full                          a.满的；彻底的；丰富的；丰满的；宽松的
 572. fun                           a.娱乐，乐趣，有趣的人(事)；嬉戏，顽皮
 573. funny                         a.滑稽可笑的，有趣的；奇特的，稀奇古怪的
 574. furniture                     n.家具
 575. future                        n.未来，将来；前途 a.未来的，今后的
 576. gain                          v.获得；赢得；增加 n.营利；收益；增进
 577. game                          n.玩耍，游戏；比赛；(比赛中的)一局；计划
 578. garden                        n.庭园，花园 v.从事园艺
 579. gate                          n.大门，城门，门口
 580. general                       a.一般的，普遍的；总的；大体的 n.将军
 581. gentleman                     n.有身份的人，绅士；有教养的人；先生
 582. geography                     n.地理学；地形，地势
 583. gesture                       n.姿势；(外交等方面的)姿态 v.用手势表示
 584. get                           v.获得；变得；有；到达；使…成某种状态
 585. gift                          n.礼物，礼品；天赋，天资
 586. giraffe                       n.长颈鹿
 587. girl                          n.女孩，姑娘；女仆，保姆；女朋友
 588. give                          v.给，送给；交给；付给；发出(声音)；倒塌
 589. glad                          a.高兴的，满意的；使人高兴的，令人喜悦的
 590. glass                         n.玻璃；玻璃杯；镜子；<pl>眼镜
 591. glove                         n.(五指分开的)手套
 592. go                            v.走，离去；进行，进展；变为，变
 593. goat                          n.山羊
 594. god                           n.神；<cup>上帝，天主
 595. gold                          n.金，黄金；金色；钱财 a.金制的；金色的
 596. golden                        a.金黄色的；绝好的，重要的
 597. good                          a.好的，优良的；应当的；熟练的 n.好事
 598. goodbye                       int.再见 n.告别，辞别
 599. goose                         n.鹅
 600. government                    n.统治，管理；政府
 601. grade                         n.等级，级别，阶段；年级；程度；评分等级
 602. graduate                      v.毕业；取得资格 n.毕业生 a.毕了业的
 603. grammar                       n.语法
 604. grandchild                    n.孙子(女)，外孙(女)
 605. granddaughter                 n.(外)孙女
 606. grandfather                   n.(外)祖父
 607. grandmother                   n.(外)祖母
 608. grandparent                   n.(外)祖父(母)
 609. grandson                      n.(外)孙
 610. granny                        n.(外)祖母
 611. grape                         n.葡萄
 612. grasp                         v.抓信，抓紧；掌握 n.抓，紧握，抱；掌握
 613. grass                         n.草，青草，牧草；草地
 614. great                         a.大的；伟大的；非常美好的；重要的
 615. green                         a.绿色的；未熟的；没有经验的 n.绿色
 616. greet                         v.迎接，欢迎，向…致意；呈现在…前
 617. greeting                      n.问候，致敬，祝贺
 618. ground                        n.地，地面；土地；场所；庭园；理由；底色
 619. group                         n.群，批 v.聚集；集合
 620. grow                          v.生长，成长，发育；逐渐变得；种植，培育
 621. guard                         n.守卫，看守；卫兵，哨兵 v.保卫；看守
 622. guess                         v.猜测，推测；猜中；想 n.推测，猜测
 623. guest                         n.客人，来宾；旅客，寄宿者
 624. guide                         n.向导，领路人；入门书 v.为…领路；引导
 625. guitar                        n.吉他，六弦琴 v.弹吉他
 626. gun                           n.枪，炮
 627. gymnasium                     n.体育馆，健身房
 628. habit                         n.习惯，习性，气性
 629. hair                          n.头发，毛发，茸毛；些微，一点儿
 630. half                          n.半个，一半，半点钟 a.一半的 ad.一半地
 631. hall                          n.大厅，礼堂，门厅
 632. ham                           n.火腿，(兽类的)后腿
 633. hamburger                     n.汉堡包
 634. hand                          n.手；钟表的指针；能手；插手 v.交，传递
 635. handbag                       n.(女用)手提包，(小)旅行包
 636. handsome                      a.(男子)英俊的，(女子)端庄健美的；慷慨的
 637. handwriting                   n.笔迹，书写，手写稿
 638. hang                          v.悬挂，垂，飘浮；绞死，吊死；晾挂使食用
 639. happen                        v.(偶然)发生；碰巧，恰好
 640. happy                         a.愉快的，快乐的，满意的；幸运的，合适的
 641. hard                          a.坚硬的；困难的；严厉的 ad.努力地
 642. hardly                        ad.几乎不，不十分；一点也不；粗鲁地
 643. has                           v.动词have的第三人称单数现在式
 644. hat                           n.(有边的)帽子
 645. hate                          v.恨，憎恨；不愿，不喜欢 n.憎恨，反感
 646. have                          aux.v.&v.有；经历；得到；吃；允许；使
 647. he                            pron.他(主格)
 648. head                          n.头部；头脑；首脑；上端 v.位于…的顶部
 649. headache                      n.头痛；麻烦的事
 650. health                        n.健康，健康状况
 651. healthy                       a.健康的，健壮的，有益于健康的
 652. hear                          v.听见，听；听到，听说，得知；倾听，听取
 653. heart                         n.心脏；内心，心情，心肠；核心，关键
 654. heat                          n.热；供热；热度；热情 v.(使)变热，加热
 655. heaven                        n.<pl>天，天空；天堂，天国，上帝；极乐
 656. heavy                         a.重的；(雨等)大量的；繁重的；忧愁的
 657. height                        n.高，高度，海拔；高处，高地；顶点，绝顶
 658. hello                         int.(唤起注意、表示问候)喂
 659. help                          v.帮助；治疗；避免；款待 n.帮助；佣人
 660. helpful                       a.有帮助的，有用的，有益的
 661. hen                           n.母鸡
 662. her                           pron.她(宾格)，她的
 663. here                          ad.这里，在这里；这时，现在；在这点上
 664. hero                          n.英雄，勇士，英勇人物；男主角，男主人公
 665. hers                          pron.她的(东西)
 666. herself                       pron.(反身代词)她自己，(表示强调)她亲自
 667. hide                          ①n.兽皮，皮革 ②v.隐藏，隐瞒 n.躲藏处
 668. high                          a.高的；高级的；重要的 ad.高 n.高(峰)
 669. hill                          n.小山，山冈，丘陵；斜坡
 670. him                           pron.他(宾格)
 671. himself                       pron.(反身代词)他自己，(表示强调)他亲自
 672. his                           pron.他的(东西)
 673. history                       n.历史，史学；来历，历史记载；个人经历
 674. hit                           v.打(击)；到达；偶然碰上 n.击中，一击
 675. hobby                         n.兴趣，爱好，业余消遣
 676. hold                          v.拿着；容纳；抑制；支撑 n.抓；支配力
 677. hole                          n.孔，坑，洞(穴)；困境
 678. holiday                       n.假日，假期
 679. home                          n.家；家乡 ad.在家 a.家庭的；国内的
 680. hometown                      n.故乡
 681. homework                      n.家庭作业，功课；(讨论前)必要的准备工作
 682. honest                        a.诚实的，正直的，忠实的；老实的，可靠的
 683. honour                        n.荣誉，信誉；崇敬 v.使感到荣誉；信守
 684. hope                          v.希望，期待 n.希望；被寄以希望的人
 685. horse                         n.马；跳马，鞍马
 686. hospital                      n.医院
 687. host                          ①n.主人 v.(做主人)招待，主持 ②n.一大群
 688. hot                           a.(炎)热的；热情的；(新闻报道)最新的
 689. hotel                         n.旅馆，酒店
 690. hour                          n.小时，时刻，点钟；一小时的行程
 691. house                         n.房屋，住宅；商行；家庭 v.给以住宿
 692. housework                     n.家务劳动，家事
 693. how                           ad.(用于疑问句)怎样；(用于感叹句)多么
 694. however                       ad.无论如何，不管怎样 conj.然而，仍然
 695. huge                          a.巨大的，庞大的
 696. human                         n.人 a.人的，人类的；有人性的，通人情的
 697. humourous                     a.富于幽默的，诙谐的，滑稽的
 698. hundred                       n.&a.一百(的)
 699. hungry                        a.饥饿的，引起食欲的；渴望的
 700. hurry                         v.急忙，催促，使加快 n.急忙，匆忙，紧急
 701. hurt                          v.剌痛；危害 n.伤，痛；危害，损害 a.伤的
 702. husband                       n.丈夫
 703. I                             pron.我(主格)
 704. ice                           n.冰，冰块，冰层 v.冰冻，使结冰
 705. ice-cream                     n.冰湛淋 a.含冰湛淋的；奶黄色的
 706. idea                          n.思想，概念，构思；想法，主意；猜想
 707. if                            conj.如果，假定；是否；纵然，即使
 708. ill                           a.患病的；坏的；不吉利的 ad.严酷的，坏地
 709. illness                       n.病，疾病
 710. imagine                       v.想像，设想，幻想；认为，猜想
 711. immediately                   ad.立即，马上；直接地 conj.一经…(立即)
 712. important                     a.重要的，重大的，显要的
 713. impossible                    a.不可能的，办不到的；难以忍受的
 714. improve                       v.改进，提高，改善；增值，利用
 715. in                            prep.在…之内；穿着 ad.在家 a.在里面的
 716. inch                          n.英寸；少许 v.缓慢地移动，渐进
 717. include                       v.包括，包含，把…计算在内
 718. increase                      ①n.增加，增长，增强 ②v.增进，增加
 719. India                         n.印度
 720. Indian                        a.印度(人)的，印第安人的 n.印度人
 721. industry                      n.工业，实业，行业；勤奋
 722. influence                     v.影响，左右，支配 n.影响力，作用；势力
 723. information                   n.消息，讯息，资料；学识，见闻；通知
 724. ink                           n.墨水，油墨，墨汁
 725. inside                        a.里面的 ad.在里面 prep.在…里面 n.里面
 726. insist                        v.坚持，坚决认为；坚决要求，强调
 727. instead                       ad.代替，替代
 728. instruction                   n.教育，指导，训练；<pl>指示，命令
 729. intend                        v.想要，打算；意指
 730. interest                      n.兴趣；利益；股权 v.使发生兴趣；使参与
 731. interesting                   a.有趣的，令人感兴趣的，令人关注的
 732. international                 a.国际的，世界的 n.国际比赛
 733. Internet                      n.[the～]国际互联网，因特网
 734. interview                     v.接见；对…进行面试 n.接见，会见，会谈
 735. into                          prep.进入…之内；变成…的状况
 736. introduce                     v.介绍，引进；插入，传入；提出(话题等)
 737. introduction                  n.介绍，引进，采用；导论，引言，入门(书)
 738. invent                        v.发明，创造；捏造，虚构
 739. invention                     n.发明，创造(能力)；发明物；捏造，虚构
 740. invite                        v.邀请，请求；吸引，引起
 741. iron                          n.铁，铁器；熨斗 v.用熨斗烫(衣服等)
 742. island                        n.岛，岛状物；(道路上的)安全岛
 743. it                            pron.它，这，那
 744. its                           pron.它的
 745. itself                        pron.它本身，它自己
 746. jacket                        n.夹克衫；外罩，保护罩
 747. January                       n.一月
 748. Japan                         n.日本
 749. Japanese                      n.日本人 a.日本的，日本人的
 750. jean                          n.牛仔裤
 751. job                           n.职业，工作；职责，任务
 752. join                          v.连接，结合；与…一起做某事 n.连接处
 753. joke                          n.笑话 v.说笑话，开玩笑
 754. journey                       n.旅行，旅程
 755. joy                           n.喜悦，欢乐；令人高兴的事
 756. juice                         n.(水果蔬菜或肉的)汁
 757. July                          n.七月
 758. jump                          v.跳，跃；跃过；突然一跳；突升 n.跳跃
 759. June                          n.六月
 760. just                          ①a.正直的；应得的 ②ad.刚才；正好；仅
 761. keep                          v.保留；管理；饲养；照顾；维护 n.衣食
 762. key                           n.钥匙；答案，秘诀；要隘；(钢琴等的)键
 763. keyboard                      n.(打字机、电脑等的)键盘
 764. kick                          v.踢 n.踢；(枪的)反冲后坐力
 765. kid                           ①n.小孩，少年，儿童 ②v.哄骗，欺骗
 766. kill                          v.杀死，杀害；破坏 n.杀，杀伤；猎获物
 767. kilogramme                    n.公斤，千克
 768. kilometre                     n.公里，千米
 769. kind                          ①a.友好的，亲切的；仁慈的 ②n.种，类
 770. king                          n.国王，君主；巨商；(象棋中的)王
 771. kiss                          v.吻，接吻 n.吻
 772. kitchen                       n.厨房
 773. kite                          n.风筝
 774. knee                          n.膝，膝关节
 775. knife                         n.刀子，小刀
 776. knock                         v.打，击，敲；相撞 n.一击，敲门(声)
 777. know                          v.知道，了解；认识，熟识；精通；认出
 778. knowledge                     n.知识，学识，学问；认识；知道，了解
 779. laboratory                    n.实验室
 780. labour                        n.劳动；劳工；分娩 v.劳动；尽力去做
 781. lady                          n.女子，女士；[L-]…夫人，…小姐
 782. lake                          n.湖，湖泊
 783. lamb                          n.羔羊；羔关肉；温顺的人
 784. lamp                          n.灯；(发出热射线等的)照射器，发热灯
 785. land                          n.陆地；土地；国家；<pl>地产 v.(使)着陆
 786. language                      n.语言；(某国、某民族的)语言；符号系统
 787. lantern                       n.灯笼，信号灯
 788. large                         a.大的
 789. last                          ①a.最后的 ad.&n.最后 ②v.持续；够…之用
 790. late                          a.迟的；后期的；新近的；已故的 ad.迟，晚
 791. later                         ad.后来，较迟
 792. laugh                         v.笑，发笑 n.笑，笑声
 793. law                           n.法律，法令，法规；规律，定律
 794. lay                           ①v.放，搁；设置；铺 ②a.世俗的；外行的
 795. lazy                          a.懒惰的；使人倦怠的
 796. lead                          ①v.领导；导致 n.先导；领导地位 ②n.铅
 797. leader                        n.领导人，领袖
 798. leaf                          n.叶子；(书籍的)一页；薄金属片，箔
 799. learn                         v.学习，学会，学到；得知，认识到
 800. least                         a.最小的，最少的
 801. leave                         ①v.离开；留下；委托 ②n.假期；同意
 802. lecture                       n.演讲，讲课 v.讲演，给…讲课
 803. left                          a.左的，左边的 ad.往左，向左 n.左，左侧
 804. leg                           n.腿，桌椅等家具的支脚；一段行程
 805. lemonade                      n.柠檬汁
 806. lend                          v.把…借给；提供，给予
 807. lesson                        n.功课，课；一节课；教训
 808. let                           v.让，允许；出租
 809. letter                        n.字，字母；信；<pl>文学
 810. level                         n.水平面，水平线；水平 a.平的，水平的
 811. library                       n.图书馆，(个人的)书房，书库
 812. license                       n.牌照，许可证，执照；许可，特许
 813. lie                           ①v.说谎 n.谎言 ②v.平躺；位于 n.状态
 814. life                          n.生命；生物；生存，人生；活力
 815. lift                          v.提高，举起；(云等)消散 n.电梯，升降机
 816. light                         ①n.光 v.点燃 a.明亮的 ②a.轻的；少量的
 817. like                          ①v.喜欢 ②prep.像 conj.如同 a.相同的
 818. likely                        a.&ad.可能
 819. line                          n.线条；界线；列；线；路线 v.用线标示
 820. link                          n.联系，关联；链环，环节 v.连接，结合
 821. lion                          n.狮子
 822. list                          n.目录，清单，名单 v.将…列在表上
 823. listen                        v.(留心地)听
 824. litter                        n.乱丢的废弃物；一胎所生的小动物 v.乱丢
 825. little                        a.小的，少的；不重要的 ad.很少 pron.微少
 826. live                          ①v.生存；过…的生活 ②a.活的；有生气的
 827. lively                        a.活泼的；生动的
 828. living                        a.活着的；生活的 n.生计，生活方式
 829. local                         a.本地的，地方的，局部的
 830. lock                          n.锁，水闸 v.锁住，关起来
 831. London                        n.伦敦
 832. lonely                        a.孤单的，孤独的；偏僻的，荒凉的
 833. long                          ①a.长的 ad.长久地 n.长时间 ②v.渴望
 834. look                          v.看；看来；朝向 n.看，外表，神态
 835. lose                          v.遗失，丧失；失败，输掉；亏损，减少
 836. lot                           n.大量，许多；<pl>抽签；命运
 837. loud                          a.响亮的，大声的；过分鲜亮的
 838. love                          n.爱，爱情；喜爱；所爱的人 v.爱；喜欢
 839. lovely                        a.美丽的，可爱的；令人愉快的
 840. low                           a.低的，矮的；低声的；不足的 ad.向下，低
 841. luck                          n.运气，命运，幸运
 842. lucky                         a.幸运的，好运的
 843. lunch                         n.午餐
 844. machine                       n.机器，机械；(政党等的)核心机构
 845. mad                           a.疯的，精神错乱的；愚蠢的；愤怒的
 846. madam                         n.夫人，太太，小姐
 847. magazine                      n.杂志，期刊；(枪上)弹盒；弹药库
 848. magic                         n.魔术，法术；魔力 a.魔术的；不可思议的
 849. mail                          n.邮政；邮件 v.邮寄
 850. main                          ①a.主要的 ②n.(输送水、电等的)总管道
 851. make                          ①v.做；使；制定；成为 ②n.(产品的)牌子
 852. male                          a.男性的，雄性的 n.男人，雄性动(植)物
 853. man                           n.成年男子；人类；人
 854. manage                        v.经营，管理；设法做到
 855. manager                       n.经理，主管
 856. many                          a.许多的，大量的 pron.许多，大量
 857. map                           n.地图
 858. March                         n.三月
 859. mark                          n.斑点；分数；标记 v.弄脏；给予分数
 860. market                        n.市场，集市；销路，需求
 861. marriage                      n.婚姻，婚姻生活；婚礼
 862. marry                         v.娶，嫁，和…结婚，使…成婚
 863. master                        n.主人；男教师；艺术大师；[M-]硕士
 864. match                         ①n.比赛，竞赛；对手 v.与…相配 ②n.火柴
 865. material                      n.物质，材料，资料 a.物质的；重要的
 866. mathematics                   n.数学
 867. matter                        n.问题；物质；重要性 v.有关系，要紧
 868. May                           n.五月
 869. may                           aux.v.可能，也许；可以；祝愿
 870. maybe                         ad.也许，大概
 871. me                            pron.我(宾格)
 872. meal                          n.一餐，用餐时间
 873. mean                          ①v.意指 ②a.自私的 ③n.平均值 a.平均的
 874. meaning                       n.意义，含义，重要性
 875. meat                          n.肉
 876. medical                       a.医学的，医术的，医疗的
 877. medicine                      n.药；医学，医术
 878. medium                        a.中等的，适中的 n.媒介，方法；中间
 879. meet                          v.遇到，碰上；会见；迎接；满足 n.运动会
 880. meeting                       n.会议，集会；聚会，会见；汇合点
 881. member                        n.成员，会员
 882. memory                        n.记忆，记忆力；回忆，怀念；存储器
 883. mend                          v.修理，修补；逐渐康复
 884. mention                       n.&v.提及，谈到
 885. menu                          n.菜单，(计算机荧屏上显示的)选择单，菜单
 886. message                       n.信息，口信；(故事等的)启示，主旨
 887. metal                         n.金属
 888. method                        n.方法，办法
 889. metre                         n.(BrE)米，公尺；韵律，拍子
 890. middle                        n.&a.中间(的)，中部(的)
 891. might                         ①aux.v.也许，可能 ②n.力量，威力；势力
 892. mile                          n.英里
 893. milk                          n.乳，牛奶，白色汁液 v.挤(牛的)奶，出奶
 894. million                       n.百万；<pl>无数
 895. mind                          n.思想；心情；看法；智力 v.介意；注意
 896. mine                          ①pron.我的 ②n.矿藏，矿；地雷 v.开矿
 897. minute                        ①n.分(钟)；片刻；(BrE)摘要 ②a.细微的
 898. mirror                        n.镜子 v.反映，映出
 899. miss                          n.未击中，未接住；错过，未听到；惦念
 900. mistake                       v.误解，弄错 n.错误，过失
 901. model                         n.模型；模特儿；模范，典范；式样，型号
 902. modern                        a.现代的，近代的，时髦的
 903. moment                        n.片刻，瞬间；某一时刻；重要性
 904. Monday                        n.星期一
 905. money                         n.金钱，货币，财富
 906. monitor                       v.监听，监视 n.显示屏；监听员；班长
 907. monkey                        n.猴子
 908. month                         n.月
 909. moon                          n.月亮，月光；卫星
 910. more                          ad.更，越发；另外，附加的
 911. morning                       n.早晨，上午
 912. most                          ad.最 a.最多的；大多数的 pron.最大量
 913. mother                        n.母亲
 914. motorcycle                    n.摩托车
 915. mountain                      n.山，高山；大量
 916. mouse                         n.老鼠，胆心怕事的人；鼠标
 917. mouth                         n.嘴，出入口 v.装腔作势地说
 918. move                          v.移动；行动；感动；提议 n.一着棋，步骤
 919. movie                         n.电影
 920. Mr.                           n.先生
 921. Mrs.                          n.太太，夫人
 922. Ms.                           n.女士(用在婚姻状况不明的女子姓名前)
 923. much                          ad.很，非常，几乎 a.大量的 pron.大量
 924. mum                           n.妈妈
 925. murder                        v.&n.谋杀(罪)
 926. museum                        n.博物馆
 927. mushroom                      n.蘑菇，菌类植物 v.迅速生长或发展
 928. music                         n.音乐，乐曲，乐谱
 929. must                          aux.v.必须；不可；一定 n.必须做的事
 930. my                            pron.我的
 931. myself                        pron.我自己，我本人
 932. name                          n.名字，名称；名声 v.给…取名；提名
 933. national                      a.国家的，全国的，国内的；民族的
 934. natural                       a.天然的；自然的，正常的；天生的，天赋的
 935. nature                        n.大自然；本性，性质
 936. near                          a.近的，不远的；近似的，接近的 prep.靠近
 937. nearby                        a.附近的 ad.在附近
 938. nearly                        ad.几乎，差不多
 939. necessary                     a.必需的，必要的；必然的，不可避免的
 940. neck                          n.颈，颈状部分；领圈
 941. need                          n.需要；需用的东西；贫穷 v.需要；必须
 942. neighbour                     n.邻居，邻国 v.邻近，邻接
 943. neighbourhood                 n.四邻，附近地区
 944. neither                       pron.&conj.两者都不 ad.也不
 945. nervous                       a.神经的；紧张的，胆怯的
 946. never                         ad.从未，永不
 947. new                           a.新的，新近的；不熟悉的，生疏的
 948. news                          n.新闻，消息，新闻报道
 949. newspaper                     n.报纸
 950. next                          a.下一个的；紧邻的 ad.然后 n.下一个人
 951. nice                          a.美好的；微妙的；和蔼的
 952. night                         n.夜晚，黑夜
 953. nine                          n.&a.九(的)，九个(的)
 954. nineteen                      n.&a.十九，十九个(的)
 955. ninety                        n.&a.九十(的)，九十个(的)
 956. ninth                         n.&a.第九(的)，第九个(的)
 957. no                            ad.不，毫不 a.无，没有，并非 n.不，拒绝
 958. nobody                        pron.没人，无一人 n.无足轻重的人
 959. nod                           v.点头，向…点头示意；打瞌睡
 960. noise                         n.喧闹声，噪音
 961. noisy                         a.嘈杂的，喧闹的
 962. none                          pron.无一
 963. noodle                        n.面条
 964. noon                          n.正午，中午
 965. nor                           conj.也不
 966. normal                        a.正常的，标准的，常态的；智力正常的
 967. north                         n.北，北方 a.北的，北方的 ad.向北方
 968. northern                      a.北部的
 969. nose                          n.鼻子；嗅觉
 970. not                           ad.不…
 971. note                          n.笔记；注释；便条；音符 v.记下；注意
 972. notebook                      n.笔记本
 973. nothing                       pron.无事，无物；微不足道的事物
 974. notice                        n.告示；注意；介绍 v.注意到；通知
 975. November                      n.十一月
 976. now                           ad.现在，即刻；这时候，当时 conj.既然
 977. number                        n.数字；号码 v.给…编号；总计；把…计入
 978. nurse                         n.护士；保姆 v.看护；哺乳；抱(希望等)
 979. o'clock                       ad.…点钟
 980. object                        ①n.物，物体；目的；宾语；对象 ②v.反对
 981. ocean                         n.海洋
 982. October                       n.十月
 983. of                            prep.…的；…之中的；关于…的；在…期间
 984. off                           prep.从…离开 a.停止了的 ad.离开；距，离
 985. offer                         v.提供；出价；(对神)供奉 n.提供；报价
 986. office                        n.办公室；服务处；(政府的)部、局；官职
 987. officer                       n.军官；警察；官员，职员
 988. often                         ad.经常，常常
 989. oil                           n.油，石油 v.给…注油
 990. OK                            a./ad.可以，不错 int.行，好 n./vt.批准
 991. old                           a.年老的；…岁的；以前的；陈旧的；熟悉的
 992. Olympic                       a.奥林匹克运动会的
 993. on                            prep.在…上；朝向 ad.穿着 a.正在发生
 994. once                          ad.一次，一回；从前，曾经 conj.一…就…
 995. one                           n.&a.一(的) pron.一个人 a.一个；某一
 996. oneself                       pron.自己，自身；亲自
 997. only                          a.惟一的；独一无二的 ad.仅仅 conj.可是
 998. open                          a.开着的；空旷的 v.开，打开；开始 n.户外
 999. operation                     n.操作；业务，经营；手术；军事行动
1000. opinion                       n.意见，看法，评价；舆论
1001. or                            conj. 或，还是；否则，不然；或者说
1002. orange                        n.橘，柑，橙；橘黄色 a.橘黄色的，橙色的
1003. order                         n.次序；正常状态；秩序 v.命令；订购
1004. other                         a.另外的；另一方的 pron.另外的人(或物)
1005. our                           pron.我们的
1006. ours                          pron.我们的(东西或人)
1007. ourselves                     pron.我们自己
1008. out                           ad.向外；离家，外出；熄灭；完全 a.向外的
1009. outside                       n.外部 a.外部的 ad.向外面 prep.在…外
1010. over                          prep.在…上方；高于；遍布 ad.在上；越过
1011. overcoat                      n.长大衣
1012. own                           ①a.&pron.自己的 ②v.拥有
1013. owner                         n.所有人，业主
1014. P.E.                          n.体育
1015. Pacific                       a.太平洋的 n.太平洋
1016. package                       n.包，包裹；一整套
1017. page                          n.页，一页；<pl>记录；(报刊的)专页
1018. paint                         n.油漆；化妆品 v.给…上油漆；(用颜料)画
1019. painting                      n.绘画(艺术)；油画，水彩画；涂漆，着色
1020. pair                          n.一队，一双；(成对物的)一方 v.(使)成对
1021. palace                        n.宫，宫殿
1022. pale                          a.苍白的；淡的，暗淡的 v.变暗淡；变苍白
1023. pancake                       n.薄煎饼
1024. panda                         n.熊猫
1025. paper                         n.纸；报纸；考卷，论文；<pl>证件，身份证
1026. pardon                        n.&v.原谅，宽恕
1027. parent                        n.父或母
1028. park                          ①n.公园；停车场 ②v.停放(车辆)
1029. part                          n.部分；角色；区域；部位 v.(使)分开
1030. partner                       n.搭档，伙伴；合伙人，合股人，合作者
1031. party                         n.聚会，宴会；政党；一伙人
1032. pass                          v.越过；穿过；终止；传递 n.考试通过
1033. passage                       n.通道；通行；(法案等)通过；(时间)流逝
1034. passenger                     n.乘客，旅客
1035. passport                      n.护照；保障，手段
1036. past                          a.过去的 n.过去 prep.越过，超过 ad.过
1037. path                          n.路，小路，路线
1038. patient                       ①a.有耐心的，忍耐的 ②n.病人
1039. pay                           v.支付，付清；(对…)有利；给予 n.工资
1040. PC                            个人电脑
1041. peace                         n.和平，安定；安静，寂静；(精神上的)安宁
1042. pear                          n.梨；梨树
1043. pen                           n.钢笔，蘸水笔
1044. pencil                        n.铅笔
1045. penny                         n.便士
1046. people                        n.人，人们；人民，国民；民族
1047. percent                       n.百分之…
1048. perfect                       a.完美的，极好的；完全的，绝对的；熟练的
1049. performance                   n.履行，执行；演出
1050. perhaps                       ad.也许，可能
1051. period                        n.一段时间；一节课；(妇女)例假期；句号
1052. person                        n.人，自身；人称
1053. personal                      a.个人的，私人的；本人的，亲自的；身体的
1054. pet                           n.宠物；受宠爱的人
1055. photograph                    n.照片 v.为…照相
1056. physics                       n.物理学
1057. piano                         n.钢琴
1058. pick                          v.挑选；采，摘；挑，剔；扒窃
1059. picnic                        n.野餐 v.去野餐
1060. picture                       n.画，图片，照片；图像，画面；电影
1061. pie                           n.馅饼
1062. piece                         n.片，块；一件，一张；(文艺作品)篇，首
1063. pig                           n.猪
1064. pilot                         n.飞行员；领航员，领港员 v.驾驶(飞机等)
1065. pink                          a.粉红的 n.粉红
1066. pioneer                       n.先锋，开拓者 v.作先锋，倡导
1067. pity                          n.怜悯，同情；可惜的事 v.同情，怜悯
1068. place                         n.地方；名次；职位；家 v.放置；任命
1069. plain                         ①a.朴素的；明白的；坦白的 ②n.平原
1070. plan                          n.计划，规划；设计图 v.计划，打算
1071. plane                         n.飞机；水准；平面 a.平面的
1072. planet                        n.行星
1073. plant                         n.植物；工厂；重型机器 v.种植；栽(赃)
1074. plastic                       n.塑料 a.塑料的，可塑的
1075. plate                         n.盘，碟；板，片
1076. play                          v.游戏，玩耍；演奏 n.玩耍；剧本；玩笑
1077. playground                    n.游戏场，运动场
1078. pleasant                      a.令人愉快的，(尤指人)可爱的，友善的
1079. please                        v.(使)高兴，(使)满意 int.请
1080. pleasure                      n.快乐，满足；令人愉快的事物，乐事
1081. plenty                        n.充足，大量
1082. pocket                        n.衣袋，小袋子 a.袖珍的 v.把…装入袋内
1083. poem                          n.诗
1084. point                         n.尖(端)；得分；论点；目的 v.指向，暗示
1085. police                        n.警察，警方，公安
1086. policeman                     n.男警察
1087. policy                        n.政策，方针；保险单
1088. polite                        a.有礼貌的，文雅的
1089. pond                          n.池塘
1090. pool                          ①n.水塘；游泳池 ②v.把…集中在一起
1091. poor                          a.贫穷的；糟的；不幸的，可怜的
